"5.39.58.229","5.39.58.255","86457061","86457087","FR","France"
"5.39.59.0","5.39.59.3","86457088","86457091","DE","Germany"
"5.39.59.4","5.39.59.23","86457092","86457111","FR","France"
"5.39.59.24","5.39.59.24","86457112","86457112","DE","Germany"
"5.39.59.25","5.39.59.99","86457113","86457187","FR","France"
"5.39.59.100","5.39.59.111","86457188","86457199","ES","Spain"
"5.39.59.112","5.39.59.175","86457200","86457263","FR","France"
"5.39.59.176","5.39.59.191","86457264","86457279","ES","Spain"
"5.39.59.192","5.39.60.111","86457280","86457455","FR","France"
"5.39.60.112","5.39.60.112","86457456","86457456","DE","Germany"
"5.39.60.113","5.39.60.127","86457457","86457471","FR","France"
"5.39.60.128","5.39.60.175","86457472","86457519","ES","Spain"
"5.39.60.176","5.39.98.135","86457520","86467207","FR","France"
"5.39.98.136","5.39.98.139","86467208","86467211","IE","Ireland"
"5.39.98.140","5.39.98.248","86467212","86467320","FR","France"
"5.39.98.249","5.39.98.249","86467321","86467321","FI","Finland"
"5.39.98.250","5.39.101.159","86467322","86467999","FR","France"
"5.39.101.160","5.39.101.163","86468000","86468003","PL","Poland"
"5.39.101.164","5.39.101.215","86468004","86468055","FR","France"
"5.39.101.216","5.39.101.216","86468056","86468056","DE","Germany"
"5.39.101.217","5.39.102.103","86468057","86468199","FR","France"
"5.39.102.104","5.39.102.104","86468200","86468200","ES","Spain"
"5.39.102.105","5.39.103.95","86468201","86468447","FR","France"
"5.39.103.96","5.39.103.127","86468448","86468479","CZ","Czech Republic"
"5.39.103.128","5.39.103.219","86468480","86468571","FR","France"
"5.39.103.220","5.39.103.223","86468572","86468575","ES","Spain"
"5.39.103.224","5.39.104.63","86468576","86468671","FR","France"
"5.39.104.64","5.39.104.67","86468672","86468675","ES","Spain"
"5.39.104.68","5.39.106.63","86468676","86469183","FR","France"
"5.39.106.64","5.39.106.127","86469184","86469247","GB","United Kingdom"
"5.39.106.128","5.39.108.59","86469248","86469691","FR","France"
"5.39.108.60","5.39.108.63","86469692","86469695","DE","Germany"
"5.39.108.64","5.39.108.159","86469696","86469791","FR","France"
"5.39.108.160","5.39.108.163","86469792","86469795","GB","United Kingdom"
"5.39.108.164","5.39.109.27","86469796","86469915","FR","France"
"5.39.109.28","5.39.109.31","86469916","86469919","ES","Spain"
"5.39.109.32","5.39.109.63","86469920","86469951","FR","France"
"5.39.109.64","5.39.109.159","86469952","86470047","ES","Spain"
"5.39.109.160","5.39.110.215","86470048","86470359","FR","France"
"5.39.110.216","5.39.110.219","86470360","86470363","PT","Portugal"
"5.39.110.220","5.39.112.71","86470364","86470727","FR","France"
"5.39.112.72","5.39.112.75","86470728","86470731","ES","Spain"
"5.39.112.76","5.39.113.171","86470732","86471083","FR","France"
"5.39.113.172","5.39.113.175","86471084","86471087","DE","Germany"
"5.39.113.176","5.39.113.211","86471088","86471123","FR","France"
"5.39.113.212","5.39.113.215","86471124","86471127","GB","United Kingdom"
"5.39.113.216","5.39.114.11","86471128","86471179","FR","France"
"5.39.114.12","5.39.114.12","86471180","86471180","DE","Germany"
"5.39.114.13","5.39.114.127","86471181","86471295","FR","France"
"5.39.114.128","5.39.114.159","86471296","86471327","GB","United Kingdom"
"5.39.114.160","5.39.117.7","86471328","86471943","FR","France"
"5.39.117.8","5.39.117.11","86471944","86471947","ES","Spain"
"5.39.117.12","5.39.120.71","86471948","86472775","FR","France"
"5.39.120.72","5.39.120.75","86472776","86472779","GB","United Kingdom"
"5.39.120.76","5.39.121.127","86472780","86473087","FR","France"
"5.39.121.128","5.39.121.191","86473088","86473151","PT","Portugal"
"5.39.121.192","5.39.122.131","86473152","86473347","FR","France"
